STATION_ID,DIRECTION,STOP_NAME,STATION_NAME,ADA,RED,BLUE,GRN,BRN,PURP,PURPExp,YEL,PINK,ORNG
40280,E,Central (63rd-bound),Central (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40780,E,Central Park (Loop-bound),Central Park (Pink Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40780,W,Central Park (54th/Cermak-bound),Central Park (Pink Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41000,S,Cermak-Chinatown (95th-bound),Cermak-Chinatown (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41000,N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41690,S,Cermak-McCormick Place (63rd-bound),Cermak-McCormick Place (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41690,N,Cermak-McCormick Place (Harlem-bound),Cermak-McCormick Place (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40710,S,Chicago (Loop-bound),Chicago (Brown & Purple Lines),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
41410,N,Chicago (O'Hare-bound),Chicago (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41410,S,Chicago (Forest Pk-bound),Chicago (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41450,N,Chicago (Howard-bound),Chicago (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41450,S,Chicago (95th-bound),Chicago (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40710,N,Chicago (Kimball-Linden-bound),Chicago (Brown & Purple Lines),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
40970,E,Cicero (O'Hare-bound),Cicero (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40420,W,Cicero (54th/Cermak-bound),Cicero (Pink Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40420,E,Cicero (Loop-bound),Cicero (Pink Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40970,W,Cicero (Forest Pk-bound),Cicero (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40480,W,Cicero (Harlem-bound),Cicero (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40480,E,Cicero (63rd-bound),Cicero (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40630,S,Clark/Division (95th-bound),Clark/Division (Red Line),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40630,N,Clark/Division (Howard-bound),Clark/Division (Red Line),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40380,E,Clark/Lake (Inner Loop),Clark/Lake (Blue; Brown; Green; Orange; Purple & Pink Lines),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
40380,W,Clark/Lake (Outer Loop),Clark/Lake (Blue; Brown; Green; Orange; Purple & Pink Lines),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40380,S,Clark/Lake (Forest Pk-bound),Clark/Lake (Blue; Brown; Green; Orange; Purple & Pink Lines),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40380,N,Clark/Lake (O'Hare-bound),Clark/Lake (Blue; Brown; Green; Orange; Purple & Pink Lines),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41160,W,Clinton (Harlem-54th/Cermak-bound),Clinton (Green & Pink Lines),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41160,E,Clinton (Loop-63rd-bound),Clinton (Green & Pink Lines),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40430,W,Clinton (Forest Pk-bound),Clinton (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40430,E,Clinton (O'Hare-bound),Clinton (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41670,E,Conservatory (63rd-bound),Conservatory (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41670,W,Conservatory (Harlem-bound),Conservatory (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40720,W,Cottage Grove (Harlem-bound),Cottage Grove (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40720,E,Cottage Grove (Terminal arrival),Cottage Grove (Green Line),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40230,N,Cumberland (O'Hare-bound),Cumberland (Blue Line),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40230,S,Cumberland (Forest Pk-bound),Cumberland (Blue Line),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40090,S,Damen (Loop-bound),Damen (Brown Line),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40210,W,Damen (54th/Cermak-bound),Damen (Pink Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40210,E,Damen (Loop-bound),Damen (Pink Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40590,S,Damen/Milwaukee (Forest Pk-bound),Damen (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40590,N,Damen/Milwaukee (O'Hare-bound),Damen (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40090,N,Damen (Kimball-bound),Damen (Brown Line),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40050,N,Davis (Linden-bound),Davis (Purple Line),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40050,S,Davis (Howard-Loop-bound),Davis (Purple Line),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40690,N,Dempster (Linden-bound),Dempster (Purple Line),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40690,S,Dempster (Howard-Loop-bound),Dempster (Purple Line),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40140,N,Dempster-Skokie (Arrival),Dempster-Skokie  (Yellow Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
40140,S,Dempster-Skokie (Howard-bound),Dempster-Skokie  (Yellow Line),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
40530,N,Diversey (Kimball-Linden-bound),Diversey (Brown & Purple Lines),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
40530,S,Diversey (Loop-bound),Diversey (Brown & Purple Lines),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
40320,N,Division (O'Hare-bound),Division (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40320,S,Division (Forest Pk-bound),Division (Blue Line),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40390,W,Forest Park (Terminal Arrival),Forest Park (Blue Line),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40390,E,Forest Park (O'Hare-bound),Forest Park (Blue Line),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40520,N,Foster (Linden-bound),Foster (Purple Line),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40520,S,Foster (Howard-Loop-bound),Foster (Purple Line),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40870,S,Francisco (Loop-bound),Francisco (Brown Line),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
